Algorithm 1	Algorithm 2	Alpha	K-Value	A2A Score	CVG (1 -> 2)	CVG (2 -> 1)
ARC	WCA	0.8	25	85.39823009	0	0
ARC	Limbo	0.8	25	83.62831858	0.04	0.04
ARC	ACDC	0.8	25	79.6042618	0.04	0.25
WCA	Limbo	N/A	26	81.91176471	0.038461538	0.038461538
WCA	ACDC	N/A	26	87.38601824	0.038461538	0.25
Limbo	ACDC	N/A	26	79.17933131	0	0
ARC	WCA	0.2	26	84.70588235	0.038461538	0.038461538
ARC	Limbo	0.2	26	82.35294118	0.038461538	0.038461538
ARC	ACDC	0.2	26	81.61094225	0	0
ARC	WCA	0.4	26	82.35294118	0	0
ARC	Limbo	0.4	26	83.38235294	0.038461538	0.038461538
ARC	ACDC	0.4	26	80.39513678	0.038461538	0.25
ARC	WCA	0.6	26	85.44117647	0	0
ARC	Limbo	0.6	26	83.67647059	0.038461538	0.038461538
ARC	ACDC	0.6	26	79.33130699	0.038461538	0.25
ARC	WCA	0.8	26	85.44117647	0	0
ARC	Limbo	0.8	26	83.67647059	0.038461538	0.038461538
ARC	ACDC	0.8	26	79.33130699	0.038461538	0.25
WCA	Limbo	N/A	27	81.96480938	0.037037037	0.037037037
WCA	ACDC	N/A	27	87.1016692	0.037037037	0.25
Limbo	ACDC	N/A	27	79.05918058	0	0
ARC	WCA	0.2	27	84.8973607	0.037037037	0.037037037
ARC	Limbo	0.2	27	82.55131965	0.037037037	0.037037037
ARC	ACDC	0.2	27	81.48710167	0	0
ARC	WCA	0.4	27	82.55131965	0	0
ARC	Limbo	0.4	27	82.99120235	0.037037037	0.037037037
ARC	ACDC	0.4	27	80.27314112	0.037037037	0.25
ARC	WCA	0.6	27	82.11143695	0	0
ARC	Limbo	0.6	27	84.16422287	0.037037037	0.037037037
ARC	ACDC	0.6	27	80.57663126	0.037037037	0.25
ARC	WCA	0.8	27	82.11143695	0	0
ARC	Limbo	0.8	27	84.16422287	0.037037037	0.037037037
ARC	ACDC	0.8	27	80.57663126	0.037037037	0.25
WCA	Limbo	N/A	28	82.01754386	0.035714286	0.035714286
WCA	ACDC	N/A	28	86.81818182	0.035714286	0.25
Limbo	ACDC	N/A	28	78.93939394	0	0
ARC	WCA	0.2	28	84.21052632	0.035714286	0.035714286
ARC	Limbo	0.2	28	82.74853801	0	0
ARC	ACDC	0.2	28	80.3030303	0	0
ARC	WCA	0.4	28	82.74853801	0	0
ARC	Limbo	0.4	28	82.89473684	0	0
ARC	ACDC	0.4	28	80.15151515	0.035714286	0.25
ARC	WCA	0.6	28	82.30994152	0	0
ARC	Limbo	0.6	28	84.06432749	0	0
ARC	ACDC	0.6	28	80.45454545	0.035714286	0.25
ARC	WCA	0.8	28	82.30994152	0	0
ARC	Limbo	0.8	28	84.06432749	0	0
ARC	ACDC	0.8	28	80.45454545	0.035714286	0.25
WCA	Limbo	N/A	29	82.06997085	0.034482759	0.034482759
WCA	ACDC	N/A	29	86.53555219	0.034482759	0.25
Limbo	ACDC	N/A	29	78.81996974	0	0
ARC	WCA	0.2	29	84.40233236	0.034482759	0.034482759
ARC	Limbo	0.2	29	82.79883382	0	0
ARC	ACDC	0.2	29	80.18154312	0	0
ARC	WCA	0.4	29	82.79883382	0	0
ARC	Limbo	0.4	29	83.09037901	0	0
ARC	ACDC	0.4	29	80.03025719	0.034482759	0.25
ARC	WCA	0.6	29	82.50728863	0	0
ARC	Limbo	0.6	29	83.67346939	0	0
ARC	ACDC	0.6	29	79.87897126	0.034482759	0.25
ARC	WCA	0.8	29	82.50728863	0	0
ARC	Limbo	0.8	29	83.67346939	0	0
ARC	ACDC	0.8	29	79.87897126	0.034482759	0.25
WCA	Limbo	N/A	30	82.12209302	0.033333333	0.033333333
WCA	ACDC	N/A	30	86.25377644	0.033333333	0.25
Limbo	ACDC	N/A	30	78.70090634	0	0
ARC	WCA	0.2	30	84.44767442	0.033333333	0.033333333
ARC	Limbo	0.2	30	82.55813953	0	0
ARC	ACDC	0.2	30	80.06042296	0	0
ARC	WCA	0.4	30	82.99418605	0	0
ARC	Limbo	0.4	30	82.99418605	0	0
ARC	ACDC	0.4	30	79.90936556	0.033333333	0.25
ARC	WCA	0.6	30	82.70348837	0	0
ARC	Limbo	0.6	30	83.13953488	0	0
ARC	ACDC	0.6	30	79.75830816	0.033333333	0.25
ARC	WCA	0.8	30	82.70348837	0	0
ARC	Limbo	0.8	30	83.13953488	0	0
ARC	ACDC	0.8	30	79.75830816	0.033333333	0.25
WCA	Limbo	N/A	31	82.17391304	0.032258065	0.032258065
WCA	ACDC	N/A	31	85.97285068	0.032258065	0.25
Limbo	ACDC	N/A	31	78.58220211	0	0
ARC	WCA	0.2	31	84.49275362	0.032258065	0.032258065
ARC	Limbo	0.2	31	82.60869565	0	0
ARC	ACDC	0.2	31	79.93966817	0	0
ARC	WCA	0.4	31	83.1884058	0	0
